date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019-01-02,sh.601899,3.29,3.29,3.01,3.01,3.34,344893936,1053924528.0,3,2.0437279999999998,1,-9.880238,0
2019-01-03,sh.601899,2.96,3.06,2.94,3.05,3.01,223657048,671474346.0,3,1.325318,1,1.328902,0
2019-01-04,sh.601899,3.04,3.09,3.02,3.08,3.05,136524076,418297509.0,3,0.8089970000000001,1,0.983606,0
2019-01-07,sh.601899,3.08,3.1,3.05,3.08,3.08,140964202,432767016.0,3,0.835307,1,0.0,0
2019-01-08,sh.601899,3.08,3.08,3.03,3.04,3.08,111505464,340018009.0,3,0.660745,1,-1.2987,0
2019-01-09,sh.601899,3.04,3.09,3.03,3.06,3.04,102030136,312767505.0,3,0.604597,1,0.657894,0
2019-01-10,sh.601899,3.07,3.09,3.05,3.07,3.06,82158912,252413214.0,3,0.48684700000000003,1,0.326797,0
2019-01-11,sh.601899,3.06,3.07,3.04,3.05,3.07,65781950,200926574.0,3,0.389802,1,-0.651465,0
2019-01-14,sh.601899,3.06,3.07,3.03,3.05,3.05,76629224,233837403.0,3,0.45408000000000004,1,0.0,0
2019-01-15,sh.601899,3.04,3.05,3.01,3.05,3.05,97828330,296207954.0,3,0.579699,1,0.0,0
2019-01-16,sh.601899,3.04,3.05,2.97,2.99,3.05,140584685,421550055.0,3,0.833059,1,-1.967211,0
2019-01-17,sh.601899,3.0,3.02,2.97,3.0,2.99,113644594,340311195.0,3,0.67342,1,0.334448,0
2019-01-18,sh.601899,3.0,3.03,2.98,3.03,3.0,127583959,384932071.0,3,0.756021,1,0.999999,0
2019-01-21,sh.601899,3.03,3.03,3.0,3.01,3.03,95026517,286619405.0,3,0.563096,1,-0.660065,0
2019-01-22,sh.601899,3.01,3.01,2.97,2.98,3.01,75337852,224932194.0,3,0.446427,1,-0.996677,0
2019-01-23,sh.601899,2.99,2.99,2.97,2.98,2.98,54932032,163490858.0,3,0.325509,1,0.0,0
2019-01-24,sh.601899,2.97,2.98,2.96,2.97,2.98,56591581,168086165.0,3,0.335343,1,-0.33557,0
2019-01-25,sh.601899,2.97,2.98,2.96,2.98,2.97,45509255,135332535.0,3,0.269673,1,0.3367,0
2019-01-28,sh.601899,3.01,3.02,2.99,2.99,2.98,93396791,280438867.0,3,0.553439,1,0.33557,0
2019-01-29,sh.601899,2.99,2.99,2.93,2.95,2.99,105175315,311184295.0,3,0.6232340000000001,1,-1.337791,0
2019-01-30,sh.601899,2.96,2.97,2.95,2.97,2.95,49189999,145594596.0,3,0.291484,1,0.6779649999999999,0
2019-01-31,sh.601899,2.98,3.02,2.96,2.98,2.97,112379860,335933675.0,3,0.665926,1,0.3367,0
2019-02-01,sh.601899,2.99,3.01,2.97,3.01,2.98,86699838,259499586.0,3,0.5137550000000001,1,1.00671,0
2019-02-11,sh.601899,3.01,3.06,3.01,3.05,3.01,152350959,462853611.0,3,0.902782,1,1.328902,0
2019-02-12,sh.601899,3.04,3.08,3.03,3.08,3.05,150506609,460753002.0,3,0.8918530000000001,1,0.983606,0
2019-02-13,sh.601899,3.09,3.22,3.06,3.2,3.08,277932624,878670581.0,3,1.6469369999999999,1,3.8961080000000003,0
