date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-01-05,32.98,35.88,34.76,32.8,843101.94,1.64,4.95,32.766,31.604,30.523,617559.77,497803.84,466740.62
2018-01-08,35.11,36.96,35.99,35.11,830783.62,1.23,3.54,33.752,32.218,30.832,706655.01,546661.56,478870.44
2018-01-09,35.63,36.11,35.84,34.95,478459.09,-0.15,-0.42,34.408,32.765,31.127,665660.13,543869.22,477686.62
2018-01-10,35.6,36.7,35.67,35.5,453695.91,-0.17,-0.47,35.076,33.282,31.432,627025.27,561354.25,476989.47
2018-01-11,35.55,35.78,35.15,34.54,402483.81,-0.52,-1.46,35.482,33.718,31.693,601704.87,562053.74,480365.97
2018-01-12,35.1,36.62,35.55,35.09,537013.31,0.4,1.14,35.64,34.203,31.965,540487.15,579023.46,488113.25
2018-01-15,35.84,38.0,37.09,35.61,757186.06,1.54,4.33,35.86,34.806,32.364,525767.64,616211.32,506161.09
2018-01-16,36.5,40.7,40.2,36.4,978464.81,3.11,8.38,36.732,35.57,32.951,625768.78,645714.46,534019.98
2018-01-17,39.48,40.6,39.77,38.3,812191.94,-0.43,-1.07,37.552,36.314,33.481,697467.99,662246.63,557625.37
2018-01-18,39.6,40.64,39.76,38.9,558848.38,-0.01,-0.03,38.474,36.978,34.039,728740.9,665222.89,569116.46
2018-01-19,39.85,41.09,39.42,39.25,548758.25,-0.34,-0.85,39.248,37.444,34.524,731089.89,635788.52,566796.18
2018-01-22,39.0,39.84,39.53,38.51,406526.41,0.11,0.28,39.736,37.798,35.008,660957.96,593362.8,570012.18
2018-01-23,40.0,41.51,40.98,39.99,648657.5,1.45,3.67,39.892,38.312,35.539,594996.5,610382.64,577125.93
2018-01-24,40.7,42.24,41.13,40.46,542629.62,0.15,0.37,40.164,38.858,36.07,541084.03,619276.01,590315.13
2018-01-25,41.12,41.12,40.2,38.8,648064.56,-0.93,-2.26,40.252,39.363,36.541,558927.27,643834.08,602943.91
2018-01-26,40.0,40.66,40.04,39.12,410062.38,-0.16,-0.4,40.376,39.812,37.008,531188.09,631138.99,605081.23
2018-01-29,40.38,40.56,38.57,38.09,597862.75,-1.47,-3.67,40.184,39.96,37.383,569455.36,615206.66,615708.99
2018-01-30,38.0,38.0,36.36,36.27,908234.38,-2.21,-5.73,39.26,39.576,37.573,621370.74,608183.62,626949.04
2018-01-31,36.61,37.76,37.56,35.62,898147.81,1.2,3.3,38.546,39.355,37.835,692474.38,616779.2,639512.92
2018-02-01,37.5,38.04,37.5,36.9,635425.38,-0.06,-0.16,38.006,39.129,38.054,689946.54,624436.9,644829.9
2018-02-02,36.5,37.9,37.38,35.8,596793.69,-0.12,-0.32,37.474,38.925,38.185,727292.8,629240.45,632514.48
2018-02-05,36.8,38.06,36.99,36.31,552634.75,-0.39,-1.04,37.158,38.671,38.235,718247.2,643851.28,618607.04
2018-02-06,35.93,36.1,35.82,34.88,699836.75,-1.17,-3.16,37.05,38.155,38.234,676567.68,648969.21,629675.92
2018-02-07,36.43,36.58,32.98,32.5,952129.69,-2.84,-7.93,36.134,37.34,38.099,687364.05,689919.21,654597.61
2018-02-08,33.0,33.88,32.75,32.49,580805.12,-0.23,-0.7,35.184,36.595,37.979,676440.0,683193.27,663513.68
2018-02-09,31.5,31.96,31.27,30.2,724944.88,-1.48,-4.52,33.962,35.718,37.765,702070.24,714681.52,672910.26
2018-02-12,31.43,32.32,31.9,31.31,407654.31,0.63,2.02,32.944,35.051,37.506,673074.15,695660.68,655433.67
