date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-01-05,36.7,36.78,36.04,35.87,760473.38,-0.86,-2.33,36.344,36.66,36.677,911242.58,910095.78,977975.79
2018-01-08,36.0,36.02,35.57,34.92,1095769.38,-0.47,-1.3,36.186,36.41,36.69,1019094.29,918958.66,978256.84
2018-01-09,35.57,36.35,36.35,35.31,969156.94,0.78,2.19,36.31,36.324,36.644,1033004.19,916517.11,960609.11
2018-01-10,36.28,36.28,35.92,35.25,777371.19,-0.43,-1.18,36.156,36.196,36.585,910214.23,901246.21,952045.7
2018-01-11,35.6,36.85,36.42,35.3,1112693.0,0.5,1.39,36.06,36.22,36.501,943092.78,930928.83,957197.01
2018-01-12,36.19,36.28,35.82,35.61,646269.69,-0.6,-1.65,36.016,36.18,36.378,920252.04,915747.31,950977.99
2018-01-15,35.71,37.32,36.41,35.03,1579330.5,0.59,1.65,36.184,36.185,36.348,1016964.26,1018029.28,977844.83
2018-01-16,36.07,38.64,38.6,35.89,2073313.12,2.19,6.01,36.634,36.472,36.53,1237795.5,1135399.85,1018905.7
2018-01-17,38.9,38.9,36.98,36.6,1959538.12,-1.62,-4.2,36.846,36.501,36.596,1474228.89,1192221.56,1076768.35
2018-01-18,37.02,37.49,36.57,36.32,1032230.06,-0.41,-1.11,36.876,36.468,36.655,1458136.3,1200614.54,1088014.11
2018-01-19,36.57,37.36,36.49,36.37,797058.5,-0.08,-0.22,37.01,36.513,36.587,1488294.06,1204273.05,1057184.42
2018-01-22,36.5,36.61,36.43,35.1,1064079.0,-0.06,-0.16,37.014,36.599,36.505,1385243.76,1201104.01,1060031.34
2018-01-23,36.38,37.12,36.38,35.81,901600.38,-0.05,-0.14,36.57,36.602,36.463,1150901.21,1194348.36,1055432.73
2018-01-24,36.16,37.1,37.05,35.85,1123582.62,0.67,1.84,36.584,36.715,36.456,983710.11,1228969.5,1065107.85
2018-01-25,36.94,36.94,36.06,36.03,795353.81,-0.99,-2.67,36.482,36.679,36.45,936334.86,1197235.58,1064082.2
2018-01-26,35.7,36.04,35.0,35.0,1319820.12,-1.06,-2.94,36.184,36.597,36.389,1040887.19,1264590.62,1090168.97
2018-01-29,34.8,34.8,31.71,31.59,2322598.5,-3.29,-9.4,35.24,36.127,36.156,1292591.09,1338917.42,1178473.35
2018-01-30,31.22,31.94,31.1,30.68,1031760.62,-0.61,-1.92,34.184,35.377,35.925,1318623.13,1234762.17,1185081.01
2018-01-31,31.06,31.38,31.12,30.61,696402.0,0.02,0.06,32.998,34.791,35.646,1233187.01,1108448.56,1150335.06
2018-02-01,30.0,30.0,28.01,28.01,2050648.62,-3.11,-9.99,31.388,33.935,35.202,1484245.97,1210290.42,1205452.48
2018-02-02,29.0,29.36,28.82,28.5,1313932.5,0.81,2.89,30.152,33.168,34.841,1483068.45,1261977.82,1233125.43
2018-02-05,28.22,29.94,29.28,28.21,872542.0,0.46,1.6,29.666,32.453,34.526,1193057.15,1242824.12,1221964.06
2018-02-06,28.5,29.38,28.45,28.3,776433.81,-0.83,-2.83,29.136,31.66,34.131,1141991.79,1230307.46,1212327.91
2018-02-07,29.2,29.49,28.71,28.23,695314.0,0.26,0.91,28.654,30.826,33.771,1141774.19,1187480.6,1208225.05
2018-02-08,28.76,29.88,29.65,28.72,858400.81,0.94,3.27,28.982,30.185,33.432,903324.62,1193785.3,1195510.44
2018-02-09,28.79,29.4,28.45,28.01,814982.19,-1.2,-4.05,28.908,29.53,33.064,803534.56,1143301.51,1203946.06
2018-02-12,28.99,29.77,29.42,28.61,742885.38,0.97,3.41,28.936,29.301,32.714,777603.24,985330.19,1162123.81
2018-02-13,29.76,30.25,29.74,29.64,763613.38,0.32,1.09,29.194,29.165,32.271,775039.15,958515.47,1096638.82
2018-02-14,29.78,30.59,30.5,29.75,568732.19,0.76,2.56,29.552,29.103,31.947,749722.79,945748.49,1027098.52
2018-02-22,30.71,31.45,31.22,30.25,646542.25,0.72,2.36,29.866,29.424,31.68,707351.08,805337.85,1007814.13
2018-02-23,31.31,32.15,31.32,31.03,734002.31,0.1,0.32,30.44,29.674,31.421,691155.1,747344.83,1004661.32
2018-02-26,31.8,32.85,32.55,31.36,1181345.5,1.23,3.93,31.066,30.001,31.227,778847.13,778225.18,1010524.65
2018-02-27,33.0,33.1,32.37,32.21,909327.06,-0.18,-0.55,31.592,30.393,31.027,807989.86,791514.51,1010910.98
2018-02-28,31.97,32.67,32.24,31.63,698489.25,-0.13,-0.4,31.94,30.746,30.786,833941.27,791832.03,989656.32
2018-03-01,31.93,32.68,32.35,31.85,583772.94,0.11,0.34,32.166,31.016,30.601,821387.41,764369.25,979077.27
2018-03-02,32.02,32.5,31.52,31.5,594218.19,-0.83,-2.57,32.206,31.323,30.427,793430.59,742292.85,942797.18
2018-03-05,31.8,32.38,32.15,31.68,492015.12,0.63,2.0,32.126,31.596,30.449,655564.51,717205.82,851268.01
2018-03-06,32.3,33.68,33.3,32.3,1146695.0,1.15,3.58,32.312,31.952,30.559,703038.1,755513.98,857014.73
2018-03-07,33.1,33.11,32.67,32.67,532887.69,-0.63,-1.89,32.398,32.169,30.636,669917.79,751929.53,848839.01
2018-03-08,32.67,32.98,32.68,32.3,411377.56,0.01,0.03,32.464,32.315,30.87,635438.71,728413.06,766875.46
2018-03-09,32.7,33.64,33.62,32.7,930709.12,0.94,2.88,32.884,32.545,31.11,702736.9,748083.74,747714.29
2018-03-12,33.88,34.23,33.99,33.41,841626.19,0.37,1.1,33.252,32.689,31.345,772659.11,714111.81,746168.5
2018-03-13,33.99,34.0,33.15,33.14,539480.62,-0.84,-2.47,33.222,32.767,31.58,651216.24,677127.17,734320.84
2018-03-14,33.0,33.08,32.72,32.5,424090.31,-0.43,-1.3,33.232,32.815,31.781,629456.76,649687.27,720759.65
2018-03-15,32.7,33.27,32.81,32.13,513498.28,0.09,0.28,33.258,32.861,31.939,649880.9,642659.81,703514.53
2018-03-16,32.83,32.95,32.01,32.0,542377.06,-0.8,-2.44,32.936,32.91,32.117,572214.49,637475.7,689884.27
2018-03-19,31.88,32.33,31.74,31.33,465493.56,-0.27,-0.84,32.486,32.869,32.233,496987.97,634823.54,676014.68
2018-03-20,31.5,32.15,32.05,31.32,368440.44,0.31,0.98,32.266,32.744,32.348,462779.93,556998.08,656256.03
2018-03-21,32.15,32.65,31.65,31.56,494711.28,-0.4,-1.25,32.052,32.642,32.406,476904.12,553180.44,652554.99
2018-03-22,31.62,31.97,31.36,31.3,366068.69,-0.29,-0.92,31.762,32.51,32.413,447418.21,548649.56,638531.31
