date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-01-05,7.39,7.48,7.42,7.35,85405.95,0.02,0.27,7.356,7.379,7.564,95731.24,110809.93,147590.23
2018-01-08,7.38,7.44,7.35,7.25,92508.56,-0.07,-0.94,7.382,7.328,7.552,99395.47,107072.31,141078.64
2018-01-09,7.35,7.46,7.45,7.27,85726.14,0.1,1.36,7.414,7.325,7.542,100432.61,100987.43,137269.3
2018-01-10,7.4,7.45,7.31,7.24,83840.31,-0.14,-1.88,7.386,7.321,7.523,86531.86,93919.1,134225.5
2018-01-11,7.26,7.79,7.74,7.25,307950.81,0.44,6.03,7.454,7.382,7.519,131086.35,113844.14,140701.79
2018-01-12,7.68,7.71,7.63,7.59,175015.92,-0.11,-1.42,7.496,7.426,7.511,149008.35,122369.79,141901.08
2018-01-15,7.66,7.67,7.23,7.15,150950.28,-0.41,-5.37,7.472,7.427,7.495,160696.69,130046.08,141293.38
2018-01-16,7.18,7.36,7.26,7.16,72503.18,0.03,0.41,7.434,7.424,7.468,158052.1,129242.35,132227.2
2018-01-17,7.32,7.66,7.56,7.18,152581.05,0.29,3.99,7.484,7.435,7.452,171800.25,129166.05,130509.88
2018-01-18,7.5,7.62,7.51,7.45,87883.04,-0.05,-0.66,7.438,7.446,7.439,127786.69,129436.52,127964.97
2018-01-19,7.55,7.72,7.46,7.41,108931.01,-0.06,-0.8,7.404,7.45,7.415,114569.71,131789.03,121299.48
2018-01-22,7.42,7.66,7.64,7.26,135179.23,0.17,2.28,7.486,7.479,7.404,111415.5,136056.1,121564.2
2018-01-23,7.6,7.71,7.69,7.55,120573.38,0.05,0.65,7.572,7.503,7.414,121029.54,139540.82,120264.13
2018-01-24,7.69,7.81,7.72,7.57,146831.33,0.03,0.39,7.604,7.544,7.433,119879.6,145839.92,119879.51
2018-01-25,7.74,7.8,7.55,7.54,112509.13,-0.19,-2.46,7.612,7.525,7.454,124804.82,126295.76,120069.95
2018-01-26,7.56,8.01,7.92,7.52,239680.5,0.37,4.9,7.704,7.554,7.49,150954.71,132762.21,127566.0
2018-01-29,7.88,7.95,7.84,7.64,191228.98,-0.08,-1.01,7.744,7.615,7.521,162164.66,136790.08,133418.08
2018-01-30,7.77,7.9,7.79,7.73,94848.8,-0.04,-0.51,7.764,7.668,7.546,157019.75,139024.65,134133.5
2018-01-31,7.74,7.77,7.44,7.34,139131.92,-0.35,-4.49,7.708,7.656,7.546,155479.87,137679.73,133422.89
2018-02-01,7.4,7.53,6.81,6.7,181492.97,-0.63,-8.47,7.56,7.586,7.516,169276.63,147040.73,138238.62
2018-02-02,6.74,6.83,6.67,6.48,106398.43,-0.14,-2.06,7.31,7.507,7.479,142620.22,146787.47,139288.25
2018-02-05,6.55,6.73,6.61,6.44,58738.82,-0.06,-0.9,7.064,7.404,7.442,116122.19,139143.43,137599.76
2018-02-06,6.48,6.57,5.98,5.95,136403.73,-0.63,-9.53,6.702,7.233,7.368,124433.17,140726.46,140133.64
